tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV25	TRAJ37	TRBV6-5	TRBJ1-1	TRBC1	PREV	AB1	0.021343481
TRAV8-1	TRAJ42	TRBV6-5	TRBJ2-3	TRBC2	PREV	AB2	0.020350761
TRAV35	TRAJ28	TRBV5-6	TRBJ2-3	TRBC2	PREV	AB3	0.013732627
TRAV12-2/AV8-4	TRAJ20/AJ16	TRBV15	TRBJ2-3	TRBC2	PREV	AB4	0.0049636
TRAV38-1	TRAJ48	TRBV20-1	TRBJ2-7	TRBC2	PREV	AB5	0.004632694
TRAV13-1/AV19	TRAJ40/AJ35	TRBV6-5	TRBJ2-1	TRBC2	PREV	AB6	0.004301787
TRAV26-1/AV8-2	TRAJ24/AJ44	TRBV10-2	TRBJ2-5	TRBC2	PREV	AB7	0.003309067
TRAV13-2/AV3	TRAJ23/AJ34	TRBV6-5	TRBJ2-5	TRBC2	PREV	AB8	0.002150893
TRAV13-1/AV8-3	TRAJ9/AJ10	TRBV25-1	TRBJ2-1	TRBC2	PREV	AB9	0.001654533
TRAV6	TRAJ38	TRBV28	TRBJ1-6	TRBC1	PREV	AB10	0.001654533
TRAV1-2	TRAJ15	TRBV18	TRBJ2-7	TRBC2	PREV	AB11	0.001654533
TRAV17	TRAJ45	TRBV18	TRBJ2-1	TRBC2	PREV	AB12	0.00148908
TRAV27	TRAJ38	TRBV18	TRBJ1-5	TRBC1	PREV	AB13	0.001323627
TRAV1-2	TRAJ4	TRBV7-6	TRBJ1-1	TRBC1	PREV	AB14	0.001323627
TRAV1-2	TRAJ26	TRBV7-9	TRBJ1-4	TRBC1	PREV	AB15	0.001323627
TRAV21	TRAJ15	TRBV5-4	TRBJ2-2	TRBC2	PREV	AB16	0.001158173
TRAV1-2	TRAJ32	TRBV7-6	TRBJ1-1	TRBC1	PREV	AB17	0.00099272
TRAV27/AV17	TRAJ45/AJ48	TRBV15	TRBJ2-5	TRBC2	PREV	AB18	0.00099272
TRAV3	TRAJ38	TRBV20-1	TRBJ2-3	TRBC2	PREV	AB19	0.00099272
TRAV13-2	TRAJ23	TRBV28	TRBJ1-1	TRBC1	PREV	AB20	0.000827267
TRAV29/DV5	TRAJ15	TRBV28	TRBJ1-5	TRBC1	PREV	AB21	0.000827267
TRAV5	TRAJ11	TRBV12-3	TRBJ1-1	TRBC1	PREV	AB22	0.000661813
TRAV3	TRAJ38	TRBV7-8	TRBJ2-1	TRBC2	PREV	AB23	0.000661813
TRAV35	TRAJ49	TRBV28	TRBJ2-4	TRBC2	PREV	AB24	0.000661813
TRAV14/DV4	TRAJ32	TRBV4-1	TRBJ2-7	TRBC2	PREV	AB25	0.000661813
TRAV17	TRAJ54	TRBV18	TRBJ2-2	TRBC2	PREV	AB26	0.000661813
TRAV38-1	TRAJ47	TRBV18	TRBJ2-7	TRBC2	PREV	AB27	0.00049636
TRAV25/AV13-2	TRAJ44/AJ58	TRBV11-3	TRBJ2-1	TRBC2	PREV	AB28	0.00049636
TRAV29/DV5	TRAJ44	TRBV29-1	TRBJ2-7	TRBC2	PREV	AB29	0.00049636
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ2-2	TRBC2	PREV	AB30	0.00049636
TRAV41/AV38-2/DV8	TRAJ29/AJ57	TRBV24-1	TRBJ2-1	TRBC2	PREV	AB31	0.00049636
TRAV38-1	TRAJ57	TRBV7-8	TRBJ2-7	TRBC2	PREV	AB32	0.00049636
TRAV13-2	TRAJ31	TRBV20-1	TRBJ1-2	TRBC1	PREV	AB33	0.00049636
TRAV13-1	TRAJ11	TRBV6-1	TRBJ1-4	TRBC1	PREV	AB34	0.00049636
TRAV29/DV5	TRAJ29	TRBV28	TRBJ2-5	TRBC2	PREV	AB35	0.00049636
TRAV1-1	TRAJ5	TRBV19	TRBJ2-3	TRBC2	PREV	AB36	0.00049636
TRAV17	TRAJ15	TRBV11-3	TRBJ2-1	TRBC2	PREV	AB37	0.00049636
TRAV5	TRAJ12	TRBV5-6	TRBJ2-7	TRBC2	PREV	AB38	0.00049636
TRAV12-2	TRAJ9	TRBV5-5/BV4-1	TRBJ2-3/BJ2-3	TRBC2/BC2	PREV	AB39	0.00049636
TRAV29/DV5	TRAJ50	TRBV7-8	TRBJ1-1	TRBC1	PREV	AB40	0.00049636
TRAV1-2	TRAJ31	TRBV5-8	TRBJ1-2	TRBC1	PREV	AB41	0.00049636
TRAV8-3	TRAJ44	TRBV9	TRBJ2-3	TRBC2	PREV	AB42	0.00049636
TRAV17	TRAJ6	TRBV7-2/BV24-1	TRBJ1-1/BJ2-1	TRBC1/BC2	PREV	AB43	0.00049636
TRAV3/AV25	TRAJ27/AJ49	TRBV12-4	TRBJ2-1	TRBC2	PREV	AB44	0.00049636
TRAV5	TRAJ21	TRBV12-3	TRBJ2-7	TRBC2	PREV	AB45	0.00049636
TRAV25	TRAJ47	TRBV2	TRBJ1-6	TRBC1	PREV	AB46	0.000330907
TRAV4	TRAJ43	TRBV6-5	TRBJ2-7	TRBC2	PREV	AB47	0.000330907
TRAV41	TRAJ53	TRBV10-3	TRBJ1-5	TRBC1	PREV	AB48	0.000330907
TRAV14/DV4	TRAJ12	TRBV7-3	TRBJ2-2	TRBC2	PREV	AB49	0.000330907
